QUOTE_ID,REPORTING_SUBJECT_TYPE,PREMIUM_TOTAL,VEHICLE_FUEL_TYPE,LICENCE_TYPE_ABI,INSURED_PERSON_CLAIM_L3Y_AT_FAULT_NOT_WINDSCREEN_NIL_COST_COUNT,LOADED_AT,HAS_NCD_PROTECTION,INSURED_PERSON_AGE
28,taxi,628.65,ELECTRICITY,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2022-12-28 13:38:41,FALSE,27
29,scooter,247.81,PETROL,DRIVING_LICENCE_KIND_PROVISIONAL_UK_CAR,null,2024-11-06 14:32:15,null,27
30,scooter,1924.17,PETROL,DRIVING_LICENCE_KIND_PROVISIONAL_UK_CAR,null,2024-10-13 22:28:42,null,31
31,taxi,5378.07,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-04-23 14:51:02,FALSE,29
32,taxi,287.19,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-01-09 20:25:37,FALSE,29
33,taxi,4384.49,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-10-02 17:39:52,FALSE,34
34,taxi,181.99,ELECTRICITY,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-05-08 16:06:51,TRUE,46
35,taxi,7796.73,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2024-11-16 21:36:06,FALSE,24
36,taxi,2747.9,PETROL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-01-12 11:09:47,FALSE,41
37,scooter,271.41,PETROL,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2024-08-09 23:25:59,null,22
38,car,224.08,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-05-03 10:24:44,FALSE,30
39,taxi,1747.19,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-07-26 10:03:15,TRUE,41
40,taxi,2085.38,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-05-09 20:01:19,FALSE,40
41,taxi,5377.88,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-09-23 13:57:45,FALSE,28
42,scooter,1232.26,PETROL,DRIVING_LICENCE_KIND_PROVISIONAL_UK_CAR,null,2024-06-08 20:42:36,null,27
43,taxi,6681.55,ELECTRICITY,DRIVING_LICENCE_KIND_FULL_UK_CAR,1,2023-08-10 14:45:53,FALSE,48
44,car,120.21,PETROL,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2024-07-31 08:22:32,FALSE,42
45,car,82.27,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-11-06 12:47:36,FALSE,53
46,taxi,6311.42,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-08-23 11:06:08,FALSE,29
47,scooter,142.91,PETROL,DRIVING_LICENCE_KIND_PROVISIONAL_UK_CAR,null,2024-06-22 09:39:50,null,25
48,taxi,1787.25,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-11-05 21:31:20,FALSE,34
49,car,420.86,PETROL,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2024-07-10 14:17:34,FALSE,33
50,taxi,3313.73,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-04-16 13:44:39,TRUE,57
51,bvi,321.36,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-03-06 22:41:04,FALSE,41
52,bvi,566.77,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-03-28 17:40:46,FALSE,58
53,taxi,1699.9,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-02-01 00:10:14,FALSE,43
54,taxi,5526.97,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-03-23 00:34:50,FALSE,40
55,taxi,235.68,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-05-08 11:06:36,FALSE,49
56,car,7096.12,DIESEL,DRIVING_LICENCE_KIND_FULL_EU,null,2024-08-30 21:20:17,FALSE,26
57,taxi,252.08,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-12-28 15:50:45,FALSE,61
58,scooter,1359.47,PETROL,DRIVING_LICENCE_KIND_PROVISIONAL_UK_CAR,null,2024-08-04 18:27:48,null,30
59,bvi,892.71,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2024-08-27 21:57:26,FALSE,34
60,taxi,247.52,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-05-10 09:08:40,FALSE,63
61,taxi,1348.14,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-03-21 04:58:43,FALSE,46
62,taxi,327.04,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-09-08 21:46:15,FALSE,30
63,taxi,2416.63,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,1,2024-10-25 15:48:42,FALSE,48
64,taxi,2416.63,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,1,2024-10-25 15:48:42,FALSE,48
65,taxi,2542.5,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-06-18 11:06:37,FALSE,34
66,bvi,559.29,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-05-18 13:47:29,TRUE,65
67,bvi,548.71,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-03-09 20:26:29,FALSE,49
68,scooter,150.3,PETROL,DRIVING_LICENCE_KIND_PROVISIONAL_UK_CAR,null,2024-10-04 23:15:22,null,27
69,scooter,995,PETROL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-05-07 09:29:30,null,33
70,scooter,995,PETROL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-05-07 09:29:30,null,33
71,car,1820.41,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-11-04 15:17:15,FALSE,33
72,car,105.03,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-09-27 10:39:09,FALSE,42
73,scooter,995,PETROL,DRIVING_LICENCE_KIND_PROVISIONAL_UK_CAR,null,2024-11-08 18:05:15,null,38
74,bvi,778.23,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-03-25 20:47:54,TRUE,35
75,bvi,614.3,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2024-11-13 07:56:03,TRUE,58
76,scooter,118.94,PETROL,DRIVING_LICENCE_KIND_PROVISIONAL_UK_CAR,null,2024-10-29 16:28:46,null,27
77,taxi,163.41,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-07-06 13:18:13,FALSE,38
78,pvi,1223.12,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2024-10-04 17:00:06,FALSE,21
79,taxi,2160.96,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-06-14 22:18:12,FALSE,34
80,scooter,238.46,PETROL,DRIVING_LICENCE_KIND_PROVISIONAL_UK_CAR,null,2024-08-27 12:27:02,null,27
81,taxi,1785.41,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,1,2023-05-23 12:45:34,FALSE,42
82,taxi,198.25,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-04-28 15:21:14,FALSE,47
83,car,710.89,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-11-19 09:34:00,FALSE,28
84,car,868.71,PETROL,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2024-07-12 11:16:02,FALSE,21
85,taxi,219.3,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-05-07 17:14:53,FALSE,33
86,car,7183.77,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-10-18 12:44:27,FALSE,32
87,scooter,253.89,PETROL,DRIVING_LICENCE_KIND_PROVISIONAL_UK_CAR,null,2024-06-15 14:35:32,null,22
88,taxi,4642.24,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2023-02-03 15:04:15,FALSE,23
89,taxi,6292.85,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-11-30 21:14:14,FALSE,58
90,car,2534.94,PETROL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-02-27 14:01:13,FALSE,44
91,taxi,1923.09,PETROL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-11-04 16:02:04,FALSE,48
92,car,1962.09,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2024-10-10 13:51:47,FALSE,35
93,car,654.15,DIESEL,DRIVING_LICENCE_KIND_FULL_EU,0,2024-05-08 12:06:40,FALSE,25
94,car,1556.15,PETROL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-02-19 13:50:22,FALSE,31
95,taxi,744.04,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-11-23 15:06:09,FALSE,45
96,taxi,388.62,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-07-30 05:34:30,FALSE,27
97,taxi,1920.06,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-10-29 15:58:44,FALSE,45
98,car,210.21,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2024-08-02 23:25:47,FALSE,55
99,taxi,4697.94,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-12-12 13:21:30,FALSE,48
100,taxi,310.72,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-07-25 09:47:12,FALSE,24
101,scooter,125.57,PETROL,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2024-11-06 15:47:20,null,32
102,scooter,281.8,PETROL,DRIVING_LICENCE_KIND_PROVISIONAL_UK_CAR,null,2024-10-10 10:06:38,null,26
103,taxi,270.03,PETROL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-08-10 23:34:33,FALSE,31
104,bvi,730.8,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-03-06 14:19:49,FALSE,38
105,car,82.27,PETROL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-12-05 21:56:40,FALSE,42
106,taxi,3718.43,PETROL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-09-18 11:13:41,FALSE,43
107,taxi,1951.76,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-04-24 01:15:21,FALSE,42
108,taxi,1951.76,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-04-24 01:15:21,FALSE,42
109,taxi,88.55,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-03-21 13:18:28,FALSE,36
110,bvi,774.48,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-09-19 08:52:37,FALSE,36
111,scooter,1876.22,PETROL,DRIVING_LICENCE_KIND_PROVISIONAL_UK_CAR,null,2024-08-07 08:29:21,null,24
112,taxi,329.53,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-11-01 11:58:08,FALSE,73
113,bvi,774.48,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-09-19 08:52:37,FALSE,36
114,taxi,198.98,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-07-12 21:32:59,FALSE,43
115,bvi,493.6,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,1,2024-03-27 16:04:11,TRUE,34
116,taxi,173.95,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2022-12-01 14:07:09,FALSE,38
117,taxi,224.25,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-05-24 18:30:39,FALSE,36
118,bvi,923.57,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2024-08-20 13:47:57,FALSE,36
119,bvi,923.57,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2024-08-20 13:47:57,FALSE,36
120,pvi,1410.62,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2024-10-07 20:06:01,FALSE,38
121,scooter,135.17,PETROL,DRIVING_LICENCE_KIND_PROVISIONAL_UK_CAR,null,2024-05-31 10:06:04,null,28
122,bvi,1078.3,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2024-06-12 13:21:20,FALSE,48
123,taxi,644.59,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2024-11-12 10:54:57,FALSE,23
124,taxi,3189.91,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2023-02-20 19:43:56,FALSE,37
125,taxi,3078.88,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,1,2024-02-13 09:39:27,FALSE,44
126,scooter,251.74,PETROL,DRIVING_LICENCE_KIND_PROVISIONAL_UK_CAR,null,2024-10-17 12:46:32,null,35
127,taxi,362.57,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-03-06 10:02:44,FALSE,44
128,taxi,647.62,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-06-13 23:00:44,FALSE,24
129,taxi,3702.23,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-03-08 21:16:54,FALSE,30
130,car,1480.46,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-03-30 02:25:01,FALSE,26
131,taxi,560.49,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2023-03-07 14:02:25,FALSE,29
132,scooter,298.75,PETROL,DRIVING_LICENCE_KIND_PROVISIONAL_UK_CAR,null,2024-08-06 20:10:23,null,22
133,taxi,286.12,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-08-19 11:31:43,FALSE,44
134,taxi,220.79,ELECTRICITY,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2022-11-19 17:50:49,FALSE,42
135,scooter,1930.6,PETROL,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2024-08-29 17:34:08,null,35
136,scooter,367.35,PETROL,DRIVING_LICENCE_KIND_PROVISIONAL_UK_CAR,null,2024-07-26 00:47:53,null,25
137,scooter,171.11,PETROL,DRIVING_LICENCE_KIND_PROVISIONAL_UK_CAR,null,2024-11-04 22:17:24,null,26
138,scooter,99.5,PETROL,DRIVING_LICENCE_KIND_PROVISIONAL_UK_CAR,null,2024-06-18 11:48:02,null,31
139,taxi,4504.97,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-02-01 19:18:44,FALSE,61
140,taxi,253.77,PETROL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-06-07 08:41:49,FALSE,40
141,taxi,167.61,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-05-10 09:36:32,FALSE,39
142,bvi,987.88,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2024-07-25 13:32:23,FALSE,25
143,bvi,772.92,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,1,2024-05-16 18:24:33,TRUE,42
144,bvi,772.92,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,1,2024-05-16 18:24:33,TRUE,42
145,taxi,179.37,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-08-11 19:47:59,FALSE,32
146,taxi,2739.52,GAS BI-FUEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-04-23 16:06:06,FALSE,46
147,taxi,3459.19,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-07-10 22:17:56,FALSE,41
148,taxi,186.74,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-02-01 10:56:29,FALSE,53
149,scooter,122.56,PETROL,DRIVING_LICENCE_KIND_PROVISIONAL_UK_CAR,0,2024-05-09 16:37:58,null,30
150,scooter,135.69,PETROL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-05-05 21:57:51,null,40
151,bvi,412.71,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-02-21 20:41:30,TRUE,51
152,bvi,488.53,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-09-04 14:39:52,TRUE,47
153,taxi,150.6,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-03-29 10:00:32,FALSE,61
154,taxi,1587.62,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-10-23 15:13:53,FALSE,36
155,taxi,457.24,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-10-17 14:21:14,FALSE,22
156,taxi,1587.62,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-10-23 15:13:53,FALSE,36
157,bvi,2012.25,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2024-09-04 17:32:52,FALSE,45
158,bvi,661.54,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2024-07-08 08:06:03,TRUE,58
159,taxi,122.71,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-05-11 17:56:59,FALSE,48
160,taxi,175.78,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-04-24 11:36:55,TRUE,43
161,bvi,295.68,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-10-26 14:30:23,FALSE,62
162,scooter,147.44,PETROL,DRIVING_LICENCE_KIND_PROVISIONAL_UK_CAR,null,2024-08-21 21:04:18,null,38
163,taxi,450.23,ELECTRICITY,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-06-02 14:46:57,FALSE,39
164,car,281.68,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2024-10-30 07:59:51,FALSE,37
165,bvi,399.47,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2024-09-30 10:23:48,FALSE,58
166,scooter,144.07,PETROL,DRIVING_LICENCE_KIND_PROVISIONAL_UK_CAR,null,2024-09-01 22:37:32,null,43
167,bvi,743.99,ELECTRICITY,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-05-21 08:32:59,FALSE,46
168,taxi,148.1,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,1,2023-04-12 11:14:38,FALSE,46
169,bvi,449.13,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-11-19 19:02:11,TRUE,46
170,bvi,449.13,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-11-19 19:02:11,TRUE,46
171,bvi,847.91,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-04-23 17:06:09,TRUE,60
172,taxi,419.37,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-08-22 22:50:32,FALSE,22
173,taxi,3277.89,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2023-02-07 11:27:07,FALSE,46
174,taxi,143.81,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2023-01-12 06:24:18,FALSE,38
175,scooter,156.23,PETROL,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2024-08-06 10:24:55,null,40
176,bvi,439.7,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-03-13 20:27:14,FALSE,64
177,taxi,1953.55,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-06-10 13:02:26,FALSE,38
178,taxi,6593.63,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2023-03-05 12:36:26,FALSE,39
179,taxi,3095.33,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-09-13 08:22:29,FALSE,46
180,scooter,1069.84,PETROL,DRIVING_LICENCE_KIND_PROVISIONAL_UK_CAR,null,2024-06-24 16:34:35,null,23
181,taxi,2877,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-05-07 08:14:28,FALSE,39
182,car,157.29,PETROL,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2024-06-23 08:50:17,FALSE,41
183,taxi,1954.76,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-11-09 10:49:04,FALSE,55
184,taxi,2926.67,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-10-02 16:33:52,FALSE,49
185,car,1387.28,PETROL,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2024-09-20 22:24:32,FALSE,40
186,taxi,1231.67,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-11-21 13:47:27,FALSE,35
187,scooter,194.86,PETROL,DRIVING_LICENCE_KIND_PROVISIONAL_UK_CAR,null,2024-07-10 18:02:46,null,27
188,taxi,2023.29,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-10-16 12:30:02,TRUE,46
189,taxi,3531.24,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-03-02 10:21:50,FALSE,31
190,taxi,146.93,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-03-04 11:52:45,TRUE,45
191,bvi,1115.06,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2024-07-03 15:12:58,FALSE,64
192,taxi,4171.85,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-03-21 12:00:58,FALSE,48
193,taxi,568.37,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2024-11-14 20:18:34,FALSE,36
194,taxi,231.01,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-11-30 14:34:54,FALSE,44
195,taxi,436.22,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-06-28 10:36:49,FALSE,33
196,taxi,209.32,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2023-01-25 15:49:35,FALSE,32
197,scooter,1469.41,PETROL,DRIVING_LICENCE_KIND_PROVISIONAL_UK_CAR,null,2024-07-08 16:57:15,null,25
198,taxi,444.27,HYBRID ELECTRIC,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-10-01 17:25:19,FALSE,39
199,taxi,2209.61,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2023-05-10 11:27:29,FALSE,33
200,scooter,116.49,PETROL,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2024-08-02 08:25:02,null,35
201,taxi,2129.96,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-03-06 10:52:04,FALSE,26
202,bvi,367.57,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-04-19 06:04:50,FALSE,27
203,bvi,1168.98,DIESEL,DRIVING_LICENCE_KIND_FULL_UK_CAR,0,2024-05-05 08:42:22,FALSE,31
204,scooter,196.78,PETROL,DRIVING_LICENCE_KIND_FULL_UK_CAR,null,2024-11-02 08:59:19,null,26
